               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  12,            0.034548,             0.00884,           0.0029836,             0.88039,             0.92198,             0.95643,             0.67694,            0.026317,           0.0077201,           0.0026587,            0.009734,            0.009734,            0.009734
                  13,            0.035443,            0.008651,            0.002798,             0.87378,             0.92977,             0.92701,             0.67515,            0.026938,           0.0075998,           0.0024695,            0.009684,            0.009684,            0.009684
                  14,            0.036301,           0.0086439,           0.0028579,             0.88346,             0.95501,             0.94709,             0.67479,            0.026316,             0.00743,           0.0022249,           0.0096299,           0.0096299,           0.0096299
                  15,            0.036961,           0.0089731,           0.0025616,             0.85913,             0.97453,             0.94685,             0.63004,            0.029045,           0.0073862,           0.0024161,           0.0095717,           0.0095717,           0.0095717
                  16,            0.033537,           0.0085561,            0.002849,             0.88614,             0.95547,             0.97155,             0.69236,            0.027175,           0.0071472,           0.0022552,           0.0095095,           0.0095095,           0.0095095
                  17,            0.034319,           0.0082106,           0.0023297,             0.83015,             0.96057,             0.93526,             0.62931,            0.027733,           0.0071923,           0.0019507,           0.0094434,           0.0094434,           0.0094434
                  18,             0.03262,           0.0081914,           0.0022191,              0.8775,             0.95511,              0.9522,             0.64235,            0.024274,           0.0068767,           0.0020612,           0.0093733,           0.0093733,           0.0093733
                  19,            0.032435,           0.0075235,           0.0022465,             0.89277,             0.96578,             0.96208,             0.66654,            0.028395,           0.0069318,           0.0018446,           0.0092995,           0.0092995,           0.0092995
                  20,            0.031891,           0.0075383,           0.0021647,             0.90466,             0.94536,             0.96301,             0.69978,            0.025133,           0.0066593,           0.0015835,           0.0092219,           0.0092219,           0.0092219
                  21,            0.032109,           0.0077316,           0.0024391,             0.88589,             0.97594,             0.96453,             0.71024,            0.025163,           0.0066124,            0.001904,           0.0091406,           0.0091406,           0.0091406
                  22,             0.03161,           0.0076274,           0.0019504,             0.91248,             0.94423,             0.95666,             0.70168,            0.026532,           0.0065929,           0.0016323,           0.0090557,           0.0090557,           0.0090557
                  23,            0.030789,           0.0074484,           0.0018694,             0.88308,             0.97003,             0.94866,             0.67089,            0.025249,           0.0066334,           0.0016192,           0.0089673,           0.0089673,           0.0089673
                  24,            0.030088,           0.0076198,           0.0018987,             0.89515,             0.94642,             0.95963,             0.74864,            0.020018,           0.0065138,           0.0016979,           0.0088755,           0.0088755,           0.0088755
                  25,            0.028981,           0.0075268,           0.0017408,             0.88457,             0.96449,             0.96471,             0.73973,            0.022613,           0.0064528,           0.0016057,           0.0087804,           0.0087804,           0.0087804
                  26,            0.029575,           0.0077277,           0.0020728,             0.87451,             0.96886,             0.93913,             0.70515,            0.022046,           0.0065554,           0.0014438,            0.008682,            0.008682,            0.008682
                  27,            0.028065,            0.007064,           0.0016936,             0.90655,             0.96738,             0.96224,             0.71671,            0.021749,           0.0064019,           0.0015064,           0.0085805,           0.0085805,           0.0085805
                  28,            0.028008,           0.0069525,           0.0017528,             0.87651,             0.98244,             0.96583,             0.72708,            0.021139,           0.0061498,           0.0013896,           0.0084759,           0.0084759,           0.0084759
                  29,            0.027035,           0.0070258,           0.0016396,             0.88777,             0.95412,             0.96846,             0.72573,            0.022434,           0.0064569,           0.0013744,           0.0083684,           0.0083684,           0.0083684
                  30,            0.025759,              0.0073,            0.001685,             0.91317,             0.95516,             0.96822,             0.76102,            0.019573,            0.006062,           0.0013891,           0.0082581,           0.0082581,           0.0082581
                  31,             0.02661,           0.0069997,           0.0017959,             0.89407,             0.97226,             0.96294,             0.76822,            0.019135,           0.0060348,           0.0012231,            0.008145,            0.008145,            0.008145
                  32,            0.025787,           0.0068223,           0.0016184,             0.93855,             0.94678,             0.96887,             0.73388,            0.020335,           0.0060168,             0.00142,           0.0080294,           0.0080294,           0.0080294
                  33,               0.025,           0.0068602,           0.0016864,             0.88005,             0.97405,             0.95488,             0.73538,            0.018074,           0.0062909,           0.0012474,           0.0079112,           0.0079112,           0.0079112
                  34,            0.024192,           0.0065634,           0.0014348,              0.9233,              0.9518,             0.97919,             0.78436,            0.018727,           0.0059838,           0.0011653,           0.0077907,           0.0077907,           0.0077907
