               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10613,            0.027927,            0.035956,            0.021988,            0.020202,           0.0051227,           0.0010937,            0.073448,            0.026989,            0.030364,             0.00174,             0.00174,             0.08434
                   1,            0.070817,            0.025092,            0.027757,              0.4698,             0.36624,             0.18853,            0.056581,             0.05329,            0.021135,             0.02451,           0.0034892,           0.0034892,            0.068589
                   2,            0.065937,            0.020239,            0.021706,             0.33002,             0.69227,             0.45948,             0.18113,             0.05252,            0.017442,            0.017629,           0.0052353,           0.0052353,            0.052835
                   3,            0.067466,            0.016445,            0.015337,             0.61912,             0.73856,             0.67791,              0.2087,            0.061073,            0.013216,            0.011334,            0.006976,            0.006976,            0.037076
                   4,            0.065302,            0.014945,            0.010953,             0.58741,              0.7195,             0.66978,             0.28911,            0.050985,            0.013217,           0.0087452,            0.008709,            0.008709,            0.021309
                   5,            0.062551,            0.013956,           0.0092903,             0.64336,             0.72496,             0.68193,             0.20514,            0.050158,            0.011611,            0.006123,           0.0099446,           0.0099446,           0.0099446
                   6,            0.057914,            0.012647,           0.0069686,             0.57147,             0.90284,             0.74487,             0.35529,            0.041413,             0.01034,           0.0053396,           0.0099446,           0.0099446,           0.0099446
                   7,            0.052298,            0.011674,           0.0059977,             0.81173,             0.86385,             0.87844,              0.5102,            0.038473,           0.0098156,           0.0038093,           0.0099203,           0.0099203,           0.0099203
                   8,            0.049925,            0.010621,           0.0047441,             0.77168,             0.90061,             0.91882,             0.45248,            0.045127,           0.0089752,           0.0035739,           0.0098916,           0.0098916,           0.0098916
                   9,            0.046427,            0.010178,           0.0035716,             0.76648,             0.96366,              0.8825,             0.57213,            0.033621,           0.0087783,           0.0036472,           0.0098586,           0.0098586,           0.0098586
                  10,            0.040273,           0.0096462,           0.0039294,             0.82781,             0.96401,             0.89919,             0.59309,             0.03305,           0.0085245,           0.0026766,           0.0098213,           0.0098213,           0.0098213
                  11,            0.040238,           0.0091536,           0.0032862,             0.86706,             0.92746,             0.94177,             0.62888,             0.02665,           0.0080171,           0.0029495,           0.0097798,           0.0097798,           0.0097798
