               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099301,             0.02978,            0.031568,            0.054507,              0.1553,            0.065432,            0.015332,            0.077699,            0.027933,             0.03124,           0.0033286,           0.0033286,            0.070043
                   1,            0.070598,            0.025652,            0.025991,             0.11015,             0.63343,             0.21376,            0.076576,             0.07772,            0.018912,            0.025549,            0.005163,            0.005163,            0.038544
                   2,            0.060996,            0.022742,            0.022407,             0.43079,              0.4063,             0.49639,             0.24543,            0.053615,            0.018582,            0.021302,           0.0032485,           0.0032485,           0.0032961
