               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043044,            0.013634,             0.01447,             0.63977,             0.46797,             0.47674,             0.21574,            0.029695,            0.010719,           0.0093185,           0.0033331,           0.0033331,            0.070002
                   1,            0.031125,           0.0091363,           0.0036277,              0.6893,             0.58293,             0.59169,             0.27102,            0.027996,           0.0093779,           0.0056606,            0.006665,            0.006665,                0.04
                   2,            0.028734,           0.0087227,           0.0031602,             0.65336,             0.56076,             0.55591,             0.27515,            0.026715,            0.010226,           0.0071924,           0.0099909,           0.0099909,            0.009993
                   3,            0.026278,           0.0087035,           0.0029023,              0.6572,             0.55046,             0.59395,             0.31775,            0.025185,            0.010206,           0.0044123,             0.00998,             0.00998,             0.00998
                   4,            0.023268,           0.0077267,           0.0018382,             0.80088,             0.60743,             0.67715,             0.37797,            0.023552,           0.0095194,           0.0038517,             0.00998,             0.00998,             0.00998
                   5,            0.021967,           0.0074213,           0.0016547,             0.81847,             0.62042,             0.69315,             0.38604,            0.024254,           0.0093491,           0.0041572,           0.0099645,           0.0099645,           0.0099645
                   6,            0.021026,           0.0071334,           0.0014411,             0.82402,             0.61415,             0.68821,             0.38936,            0.024428,            0.009089,           0.0038119,           0.0099446,           0.0099446,           0.0099446
                   7,            0.020293,           0.0068455,           0.0013977,             0.83679,             0.64795,             0.71338,             0.40854,            0.023072,            0.008917,           0.0029059,           0.0099203,           0.0099203,           0.0099203
                   8,            0.019726,           0.0067202,            0.001271,             0.84441,             0.63311,             0.69708,             0.40374,             0.02348,           0.0093063,           0.0033432,           0.0098916,           0.0098916,           0.0098916
                   9,            0.019232,           0.0065751,           0.0012002,             0.84815,             0.61176,             0.69295,             0.40812,             0.02354,           0.0091019,           0.0033624,           0.0098586,           0.0098586,           0.0098586
                  10,            0.018672,           0.0063908,           0.0011527,             0.82113,             0.63013,             0.69428,             0.42103,            0.022629,           0.0091858,           0.0034187,           0.0098213,           0.0098213,           0.0098213
                  11,            0.018301,           0.0062296,           0.0010388,             0.82293,             0.63519,             0.70367,              0.4254,            0.022067,           0.0092259,           0.0037342,           0.0097798,           0.0097798,           0.0097798
                  12,            0.018011,            0.006185,            0.001022,             0.85392,             0.65183,             0.71594,             0.43761,            0.023337,           0.0083161,           0.0037954,            0.009734,            0.009734,            0.009734
                  13,            0.017721,           0.0060513,           0.0010189,             0.85729,             0.66145,             0.73402,              0.4473,            0.021674,           0.0083233,           0.0031394,            0.009684,            0.009684,            0.009684
                  14,            0.017557,           0.0059611,          0.00095559,             0.84574,             0.66414,             0.72995,             0.44845,            0.021539,           0.0087525,           0.0027905,           0.0096299,           0.0096299,           0.0096299
                  15,            0.017251,           0.0059358,          0.00098403,             0.83672,             0.68432,             0.73415,             0.44634,            0.022065,           0.0087956,           0.0029293,           0.0095717,           0.0095717,           0.0095717
                  16,            0.017201,           0.0058203,          0.00087072,             0.85396,             0.68585,             0.75012,             0.45906,            0.022413,           0.0078468,           0.0031273,           0.0095095,           0.0095095,           0.0095095
                  17,            0.016872,           0.0057795,          0.00084965,              0.8687,             0.66679,             0.75701,             0.45927,             0.02105,           0.0082252,           0.0030426,           0.0094434,           0.0094434,           0.0094434
                  18,            0.016872,           0.0057244,            0.000898,             0.84852,             0.66858,             0.73761,             0.44442,            0.022385,           0.0083214,           0.0035163,           0.0093733,           0.0093733,           0.0093733
