               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081443,            0.026779,            0.027489,            0.058204,              0.1149,            0.044967,            0.011191,            0.062641,            0.025165,            0.027655,           0.0033286,           0.0033286,            0.070043
                   1,            0.058435,            0.021605,            0.021445,             0.20069,             0.33348,             0.27878,            0.086411,            0.060485,            0.019056,            0.022035,            0.005163,            0.005163,            0.038544
                   2,            0.049751,            0.020163,            0.017852,             0.34921,             0.63755,             0.35799,             0.11559,            0.055141,            0.016057,            0.018166,           0.0032485,           0.0032485,           0.0032961
