               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07891,            0.027501,             0.02731,            0.035818,             0.11111,            0.027472,           0.0073713,            0.069634,            0.023887,            0.026801,           0.0033286,           0.0033286,            0.070043
                   1,            0.056805,              0.0214,            0.020218,             0.20597,             0.39085,             0.21053,            0.050422,            0.058716,            0.017328,            0.019538,           0.0060894,           0.0060894,             0.03947
                   2,            0.054581,            0.017548,            0.014573,             0.43649,             0.74552,             0.50832,              0.1245,            0.065109,            0.013319,            0.013641,           0.0068873,           0.0068873,           0.0069349
                   3,             0.04698,             0.01508,             0.01037,              0.5376,             0.69436,              0.6022,             0.18522,            0.042433,            0.012363,           0.0094311,           0.0041094,           0.0041094,           0.0041094
                   4,            0.042361,            0.012798,            0.007073,             0.66589,             0.88199,             0.82058,             0.33829,            0.042272,            0.010435,           0.0071009,           0.0041094,           0.0041094,           0.0041094
