               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081643,            0.026747,            0.027493,            0.056957,            0.090909,            0.038087,             0.01104,            0.071526,            0.022959,             0.02741,           0.0033286,           0.0033286,            0.070043
                   1,            0.058736,            0.021518,            0.021349,             0.22107,             0.54945,             0.22917,            0.064691,            0.053971,            0.019473,            0.021743,           0.0060894,           0.0060894,             0.03947
                   2,            0.055896,            0.018863,            0.017191,             0.28975,             0.52616,             0.35358,             0.10438,            0.056842,            0.016671,             0.01584,           0.0068873,           0.0068873,           0.0069349
                   3,             0.04406,            0.017157,            0.012175,             0.59281,             0.75558,             0.67213,              0.2787,            0.042898,            0.013634,             0.01081,           0.0041094,           0.0041094,           0.0041094
                   4,            0.040781,            0.013988,           0.0079895,             0.64339,             0.79025,             0.74336,             0.36012,            0.039207,            0.011161,           0.0076097,           0.0041094,           0.0041094,           0.0041094
