               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.013929,           0.0058644,          0.00071339,             0.89703,             0.97606,             0.97837,             0.81339,            0.013756,           0.0054385,           0.0007013,           0.0030888,           0.0030888,           0.0030888
                  36,             0.01385,           0.0056807,           0.0006416,             0.91642,             0.95803,             0.97785,             0.80406,            0.014093,           0.0055794,          0.00062207,            0.002855,            0.002855,            0.002855
                  37,            0.013241,            0.005738,          0.00055462,               0.915,              0.9653,             0.97779,             0.81439,            0.013744,            0.005474,          0.00057386,           0.0026316,           0.0026316,           0.0026316
                  38,            0.013641,           0.0059181,          0.00060986,             0.88917,             0.98054,             0.97514,              0.8123,            0.013702,           0.0052875,          0.00057784,           0.0024195,           0.0024195,           0.0024195
                  39,            0.013161,           0.0058014,          0.00054576,             0.92129,             0.94093,             0.97548,             0.80414,            0.013923,           0.0054598,           0.0005679,           0.0022196,           0.0022196,           0.0022196
                  40,            0.013355,           0.0056497,          0.00053561,             0.91252,             0.95711,             0.97357,             0.81775,            0.013202,           0.0053632,           0.0005521,           0.0020327,           0.0020327,           0.0020327
                  41,            0.012576,           0.0053637,          0.00049612,             0.90376,             0.96215,             0.97551,             0.82036,             0.01291,            0.005321,          0.00053815,           0.0018594,           0.0018594,           0.0018594
                  42,            0.012648,           0.0053924,          0.00050712,             0.93867,             0.92791,              0.9769,             0.81741,            0.012992,           0.0052812,          0.00054117,           0.0017005,           0.0017005,           0.0017005
                  43,            0.012645,           0.0055765,           0.0004977,             0.92204,             0.95266,             0.97842,             0.82342,            0.012636,           0.0052113,          0.00054952,           0.0015566,           0.0015566,           0.0015566
                  44,            0.012659,           0.0053727,          0.00058215,             0.91512,             0.96029,             0.97754,             0.82546,            0.012708,           0.0052648,          0.00054482,           0.0014283,           0.0014283,           0.0014283
                  45,            0.012518,           0.0054924,          0.00044475,             0.90803,             0.97148,             0.97855,             0.82967,            0.012418,           0.0051497,          0.00055747,            0.001316,            0.001316,            0.001316
                  46,            0.012373,           0.0058677,          0.00059531,             0.94327,             0.92693,             0.97863,             0.82777,            0.012476,           0.0052266,          0.00049009,           0.0012202,           0.0012202,           0.0012202
                  47,            0.012482,           0.0056201,          0.00050374,             0.92702,             0.95489,             0.97946,             0.83446,            0.012412,           0.0051929,          0.00048257,           0.0011414,           0.0011414,           0.0011414
                  48,            0.011804,           0.0052733,          0.00041719,             0.91586,             0.96653,             0.97992,             0.83327,            0.012413,            0.005295,          0.00046254,           0.0010797,           0.0010797,           0.0010797
                  49,            0.011894,            0.005426,          0.00041459,             0.94589,             0.93225,             0.97836,             0.82892,            0.012434,           0.0052613,          0.00045663,           0.0010355,           0.0010355,           0.0010355
